country,Region,GDP per capita (current US$),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Pop. using improved sanitation facilities (urban/rural, %)"
Afghanistan,SouthernAsia,623.2,68.6,8.2,0.3,3.3,2.1,63,21.43
Albania,SouthernEurope,3984.2,14.6,5.9,1.3,3.5,28.2,84,3.36
Algeria,NorthernAfrica,4154.1,27.7,7.2,,,0.8,5900,0.05
Andorra,SouthernEurope,39896.4,,8.1,3.7,3.3,34.0,1,
Angola,MiddleAfrica,4714.1,65.4,3.3,,,46.5,3902,0.42
Anguilla,Caribbean,21879.6,,,,,61.1,0,
Antigua and Barbuda,Caribbean,14764.5,9.1,5.5,,,22.3,,0.12
Argentina,SouthAmerica,14564.5,13.7,4.8,3.8,5.3,10.0,3167,0.01
Armenia,WesternAsia,3489.1,13.2,4.5,2.8,2.8,11.7,48,3.17
Aruba,Caribbean,26005.4,14.8,,,6.2,2.3,1,
Australia,Oceania,51352.2,3.9,9.4,3.4,5.2,16.2,15282,
Austria,WesternEurope,44117.7,3.3,11.2,5.2,5.5,46.9,505,
Azerbaijan,WesternAsia,5438.7,31.4,6.0,3.4,2.6,13.5,2459,0.14
Bahamas,Caribbean,22817.2,9.1,7.7,,,51.4,0,
Bahrain,WesternAsia,22600.2,6.9,5.0,0.9,2.7,0.8,961,
Bangladesh,SouthernAsia,1207.9,33.3,2.8,0.4,1.9,11.0,1438,1.24
Barbados,Caribbean,15429.4,9.6,7.5,,6.6,14.7,2,
Belarus,EasternEurope,5750.8,3.6,5.7,4.1,4.9,42.5,155,0.20
Belgium,WesternEurope,40277.8,3.5,10.6,3.0,6.6,22.6,520,
Belize,CentralAmerica,4789.4,14.3,5.8,,6.4,60.1,9,2.08
Benin,WesternAfrica,779.1,67.7,4.6,0.1,4.4,38.7,96,5.09
Bermuda,NorthernAmerica,94399.9,,,,1.7,20.0,1,
Bhutan,SouthernAsia,2677.1,30.5,3.6,0.3,7.4,72.0,75,5.26
Bolivia (Plurinational State of),SouthAmerica,3076.8,42.9,6.3,0.5,7.3,50.8,962,2.38
Bosnia and Herzegovina,SouthernEurope,4265.0,7.6,9.6,1.9,,42.7,252,2.20
Botswana,SouthernAfrica,6360.6,35.2,5.4,0.4,,19.3,47,0.46
Brazil,SouthAmerica,8528.3,15.8,8.3,1.9,6.0,59.2,10948,0.06
Brunei Darussalam,South-easternAsia,30552.7,6.5,2.6,1.5,4.4,72.1,679,
Bulgaria,EasternEurope,6846.8,8.3,8.4,4.0,4.1,35.1,474,
Burkina Faso,WesternAfrica,611.1,64.8,5.0,~0.0,4.1,19.8,123,9.11
Burundi,EasternAfrica,244.6,77.8,7.5,,5.4,10.6,56,12.31
Cabo Verde,WesternAfrica,3080.2,22.5,4.8,0.3,5.0,22.1,2,10.21
Cambodia,South-easternAsia,1158.7,29.9,5.7,0.2,1.9,54.3,178,4.37
Cameroon,MiddleAfrica,1217.3,67.5,4.1,,3.0,40.3,408,2.31
Canada,NorthernAmerica,43205.6,4.7,10.4,2.5,5.3,38.2,19276,
Central African Republic,MiddleAfrica,333.2,93.5,4.2,,1.2,35.6,19,32.25.00
Chad,MiddleAfrica,713.0,91.2,3.6,0,2.8,4.0,288,6.14
Chile,SouthAmerica,13416.2,7.4,7.8,,4.9,23.4,540,0.02
"China, Hong Kong SAR",EasternAsia,42431.0,1.6,,,3.3,,,
"China, Macao SAR",EasternAsia,78586.4,3.0,,,2.0,,2,
China,EasternAsia,8109.1,11.6,5.5,1.5,,22.0,101394,0.00
Colombia,SouthAmerica,6056.1,17.9,7.2,,4.5,52.8,5380,0.47
Comoros,EasternAfrica,1368.9,58.1,6.7,,4.3,20.1,3,12.05
Congo,MiddleAfrica,1838.1,46.5,5.2,,,65.4,648,1.05
Cook Islands,Polynesia,14118.7,3.6,3.4,,3.9,62.9,,
Costa Rica,CentralAmerica,11015.0,9.3,9.3,1.2,7.2,53.4,110,0.22
Croatia,SouthernEurope,11479.4,3.9,7.8,3.1,4.6,34.3,182,
Cuba,Caribbean,7656.6,5.5,11.1,7.5,,30.2,212,
Cyprus,WesternAsia,21941.9,4.2,7.4,2.5,6.1,18.7,5,
Czechia,EasternEurope,17561.7,2.5,7.4,3.7,4.1,34.5,1221,
Democratic People's Republic of Korea,EasternAsia,648.0,18.5,,2.8,,42.8,871,
Democratic Republic of the Congo,MiddleAfrica,486.2,73.2,4.3,,2.2,67.4,1179,8.01
Denmark,NorthernEurope,53149.3,3.5,10.8,3.6,8.6,14.4,666,
Djibouti,EasternAfrica,1956.3,55.3,10.6,0.2,,0.2,3,
Dominican Republic,Caribbean,6373.6,25.1,4.4,1.5,,40.4,28,0.43
Ecuador,SouthAmerica,6205.1,21.1,9.2,1.7,5.0,50.8,1247,0.31
Egypt,NorthernAfrica,3452.3,18.9,5.6,0.8,,0.1,3509,1.18
El Salvador,CentralAmerica,4219.4,17.0,6.8,,3.5,13.0,86,0.36
Equatorial Guinea,MiddleAfrica,16344.1,70.0,3.8,,,56.3,841,0.15
Eritrea,EasternAfrica,914.9,45.0,3.3,,,15.0,27,
Estonia,NorthernEurope,17112.0,3.2,6.4,3.3,5.5,52.7,242,
Ethiopia,EasternAfrica,602.8,45.8,4.9,,4.5,12.5,1308,5.28
Fiji,Melanesia,4921.9,16.0,4.5,,3.9,55.4,8,2.46
Finland,NorthernEurope,42148.1,2.3,9.7,3.0,7.2,73.1,757,
France,WesternEurope,36304.2,3.4,11.5,3.2,5.5,30.8,5694,
French Polynesia,Polynesia,18161.0,6.9,,,,42.3,1,
Gabon,MiddleAfrica,7960.7,40.8,3.4,,2.7,88.5,559,1.13
Gambia,WesternAfrica,473.2,49.8,7.3,,2.8,48.1,7,12.35
Georgia,WesternAsia,3491.4,11.2,7.4,4.8,2.0,40.6,61,3.30
Germany,WesternEurope,41686.2,3.4,11.3,4.1,5.0,32.7,5004,
Ghana,WesternAfrica,1355.6,46.5,3.6,,6.2,40.9,410,5.21
Greece,SouthernEurope,17788.0,3.3,8.1,6.3,,31.2,368,
Grenada,Caribbean,8933.8,9.6,6.1,,,50.0,0,2.55
Guatemala,CentralAmerica,3903.5,26.9,6.2,,3.0,33.4,327,1.06
Guinea-Bissau,WesternAfrica,530.0,80.4,5.6,,2.2,70.5,25,9.03
Guinea,WesternAfrica,703.9,65.7,5.6,,3.2,26.0,113,9.05
Guyana,SouthAmerica,4278.8,33.2,5.2,,3.2,84.0,7,1.37
Haiti,Caribbean,793.7,46.9,7.6,,,3.5,136,12.13
Honduras,CentralAmerica,2521.9,27.8,8.7,,5.9,42.1,105,3.26
Hungary,EasternEurope,12350.6,4.9,7.4,3.3,4.7,22.8,423,
Iceland,NorthernEurope,50936.0,1.6,8.9,3.8,7.8,0.5,284,
India,SouthernAsia,1614.2,41.3,4.7,0.7,3.8,23.7,23103,0.16
Indonesia,South-easternAsia,3346.5,25.0,2.8,0.2,3.6,50.6,19481,0.00
